ID,PANEL_NAME,TEST_NAME,"Comp_FLAG
(H = positive result / 0 = negative result)","Screen_FLAG 
(H = positive result / 0 = negative result / blank = not tested)","Confirm_FLAG 
(H = positive result / 0 = negative result / blank = not tested)",COMP/EIA_Comparison,COMP/Confirm_Comparison,EIA/Confirm_Comparison
2810,Pain (PAR) - Comprehensive Screen Panel,Naloxone,0,,0,,0/0,
2811,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
2812,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
2813,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,0,0,0,0/0,0/0,0/0
2814,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,0,0,H,0/0,0/H,0/H
2815,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
2816,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
2817,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
2818,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
2819,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
2820,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),H,H,H,H/H,H/H,H/H
2821,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
2822,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
2823,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),H,H,H,H/H,H/H,H/H
2824,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
2825,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
2826,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
2827,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
2828,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
2829,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,H,,H,,H/H,
2830,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
2831,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
2832,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
2833,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
2834,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
2835,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
2836,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
2837,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
2838,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,0,0,0,0/0,0/0,0/0
2839,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
2840,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,H,H,H,H/H,H/H,H/H
2841,Pain (PAR) - Comprehensive Screen Panel,Methadone,H,H,H,H/H,H/H,H/H
2842,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
2843,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
2844,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
2845,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
2846,Pain (PAR) - Comprehensive Screen Panel,Naloxone,0,,0,,0/0,
2847,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
2848,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
2849,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,0,0,0,0/0,0/0,0/0
2850,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,H,H,H,H/H,H/H,H/H
2851,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
2852,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
2853,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
2854,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
2855,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
2856,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),H,H,H,H/H,H/H,H/H
2857,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
2858,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
2859,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),H,H,H,H/H,H/H,H/H
2860,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,H,0/0,0/H,0/H
2861,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
2862,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
2863,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
2864,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
2865,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
2866,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
2867,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
2868,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
2869,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
2870,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
2871,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
2872,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
2873,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
2874,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,0,0,0,0/0,0/0,0/0
2875,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
2876,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,H,0,H,H/0,H/H,0/H
2877,Pain (PAR) - Comprehensive Screen Panel,Methadone,H,H,H,H/H,H/H,H/H
2878,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
2879,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
2880,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
2881,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
2882,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
2883,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
2884,Pain (PAR) - Comprehensive Screen Panel,Naloxone,H,,H,,H/H,
2885,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
2886,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,H,H,H,H/H,H/H,H/H
2887,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
2888,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,H,H,H,H/H,H/H,H/H
2889,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
2890,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
2891,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
2892,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,0,0,0,0/0,0/0,0/0
2893,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
2894,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
2895,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
2896,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
2897,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
2898,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
2899,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
2900,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
2901,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
2902,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
2903,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
2904,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
2905,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
2906,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
2907,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
2908,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
2909,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
2910,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
2911,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
2912,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
2913,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
2914,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
2915,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
2916,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
2917,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
2918,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
2919,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
2920,Pain (PAR) - Comprehensive Screen Panel,Naloxone,0,,0,,0/0,
2921,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
2922,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,0,0,0,0/0,0/0,0/0
2923,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
2924,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,0,0,0,0/0,0/0,0/0
2925,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
2926,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
2927,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
2928,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,0,0,0,0/0,0/0,0/0
2929,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
2930,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
2931,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
2932,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
2933,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
2934,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
2935,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
2936,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
2937,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
2938,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
2939,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
2940,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
2941,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
2942,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
2943,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
2944,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
2945,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
2946,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
2947,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
2948,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
2949,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
2950,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
2951,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
2952,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
2953,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
2954,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
2955,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
2956,Pain (PAR) - Comprehensive Screen Panel,Naloxone,H,,H,,H/H,
2957,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
2958,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,H,H,H,H/H,H/H,H/H
2959,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
2960,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,H,H,H,H/H,H/H,H/H
2961,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
2962,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
2963,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
2964,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,0,0,0,0/0,0/0,0/0
2965,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
2966,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
2967,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
2968,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
2969,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
2970,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
2971,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
2972,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
2973,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
2974,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
2975,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
2976,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
2977,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
2978,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
2979,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
2980,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
2981,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
2982,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
2983,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
2984,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
2985,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,H,0/0,0/H,0/H
2986,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
2987,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
2988,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
2989,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
2990,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
2991,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
2992,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,H,H,H,H/H,H/H,H/H
2993,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
2994,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
2995,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
2996,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
2997,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
2998,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
2999,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
3000,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
3001,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
3002,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
3003,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,H,,H,,H/H,
3004,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
3005,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
3006,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
3007,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
3008,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
3009,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
3010,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
3011,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
3012,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
3013,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),0,0,0,0/0,0/0,0/0
3014,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
3015,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
3016,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
3017,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
3018,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
3019,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
3020,Pain (PAR) - Comprehensive Screen Panel,Naloxone,H,,H,,H/H,
3021,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
3022,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,H,H,H,H/H,H/H,H/H
3023,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
3024,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,H,H,H,H/H,H/H,H/H
3025,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
3026,Pain (PAR) - Comprehensive Screen Panel,Naloxone,H,,H,,H/H,
3027,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
3028,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,H,H,H,H/H,H/H,H/H
3029,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
3030,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,H,H,H,H/H,H/H,H/H
3031,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
3032,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
3033,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
3034,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,H,H,H,H/H,H/H,H/H
3035,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
3036,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
3037,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),0,0,0,0/0,0/0,0/0
3038,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
3039,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
3040,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
3041,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
3042,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
3043,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
3044,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
3045,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,0,,0,,0/0,
3046,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
3047,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
3048,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
3049,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
3050,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
3051,Pain (PAR) - Comprehensive Screen Panel,Noroxycodone,0,0,,0/0,,
3052,Pain (PAR) - Comprehensive Screen Panel,Amphetamine,0,0,0,0/0,0/0,0/0
3053,Pain (PAR) - Comprehensive Screen Panel,Ecstasy (MDMA),0,0,0,0/0,0/0,0/0
3054,Pain (PAR) - Comprehensive Screen Panel,Cocaine Metabolite (Benzoylecgonine),H,H,H,H/H,H/H,H/H
3055,Pain (PAR) - Comprehensive Screen Panel,Methamphetamine,0,0,0,0/0,0/0,0/0
3056,Pain (PAR) - Comprehensive Screen Panel,Nordiazepam,0,0,0,0/0,0/0,0/0
3057,Pain (PAR) - Comprehensive Screen Panel,Norfentanyl,0,0,0,0/0,0/0,0/0
3058,Pain (PAR) - Comprehensive Screen Panel,Methadone,0,0,0,0/0,0/0,0/0
3059,Pain (PAR) - Comprehensive Screen Panel,Ritalinic Acid,0,,0,,0/0,
3060,Pain (PAR) - Comprehensive Screen Panel,Codeine,0,0,0,0/0,0/0,0/0
3061,Pain (PAR) - Comprehensive Screen Panel,Morphine,0,0,0,0/0,0/0,0/0
3062,Pain (PAR) - Comprehensive Screen Panel,Naloxone,0,,0,,0/0,
3063,Pain (PAR) - Comprehensive Screen Panel,6-betanaltrexol,0,,,,,
3064,Pain (PAR) - Comprehensive Screen Panel,Norbuprenorphine,0,0,0,0/0,0/0,0/0
3065,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxyalprazolam,0,0,0,0/0,0/0,0/0
3066,Pain (PAR) - Comprehensive Screen Panel,Buprenorphine,0,0,0,0/0,0/0,0/0
3067,Pain (PAR) - Comprehensive Screen Panel,Heroin Metabolite (6-AM),0,0,0,0/0,0/0,0/0
3068,Pain (PAR) - Comprehensive Screen Panel,7-aminoclonazepam,0,0,0,0/0,0/0,0/0
3069,Pain (PAR) - Comprehensive Screen Panel,7-aminoflunitrazepam,0,0,,0/0,,
3070,Pain (PAR) - Comprehensive Screen Panel,THC Metabolite,0,0,0,0/0,0/0,0/0
3071,Pain (PAR) - Comprehensive Screen Panel,Alpha-hydroxymidazolam,0,0,0,0/0,0/0,0/0
3072,Pain (PAR) - Comprehensive Screen Panel,Lorazepam,0,0,0,0/0,0/0,0/0
3073,Pain (PAR) - Comprehensive Screen Panel,Methadone Metabolite (EDDP),H,H,H,H/H,H/H,H/H
3074,Pain (PAR) - Comprehensive Screen Panel,Hydrocodone,0,0,0,0/0,0/0,0/0
3075,Pain (PAR) - Comprehensive Screen Panel,Hydromorphone,0,0,0,0/0,0/0,0/0
3076,Pain (PAR) - Comprehensive Screen Panel,Methylphenidate,0,,0,,0/0,
3077,Pain (PAR) - Comprehensive Screen Panel,Oxazepam,0,0,0,0/0,0/0,0/0
3078,Pain (PAR) - Comprehensive Screen Panel,Oxycodone,0,0,0,0/0,0/0,0/0
3079,Pain (PAR) - Comprehensive Screen Panel,Oxymorphone,0,0,0,0/0,0/0,0/0
3080,Pain (PAR) - Comprehensive Screen Panel,Tapentadol,0,0,,0/0,,
3081,Pain (PAR) - Comprehensive Screen Panel,Gabapentin,H,,H,,H/H,
3082,Pain (PAR) - Comprehensive Screen Panel,Temazepam,0,0,0,0/0,0/0,0/0
3083,Pain (PAR) - Comprehensive Screen Panel,Norhydrocodone,0,0,,0/0,,
3084,Pain (PAR) - Comprehensive Screen Panel,MDA,0,0,0,0/0,0/0,0/0
3085,Pain (PAR) - Comprehensive Screen Panel,Tramadol,0,0,,0/0,,
3086,Pain (PAR) - Comprehensive Screen Panel,MDEA,0,0,0,0/0,0/0,0/0
